104,94,93,83,82,71,70,60,61,51,52,42,43,44,34,35,25,26,16,17
81,82,83,73,74,64,65,55,56,57,47,48,38,39,29,210,28,18,17,0
96,97,87,88,78,79,710,69,68,58,57,47,46,45,35,34,24,23,13,12
1010,99,98,88,87,76,75,65,64,54,53,52,42,41,31,30,20,21,11,12
95,94,84,83,82,72,71,61,60,50,51,52,42,43,33,34,24,25,26,16
91,90,80,81,82,72,73,63,64,65,55,56,46,47,37,38,39,29,210,19
15,107,108,98,99,89,810,79,78,66,56,55,45,44,43,33,32,22,21,10
97,96,86,85,84,74,73,63,62,52,51,50,40,41,31,32,22,23,24,14
93,92,91,81,80,70,71,61,62,52,53,54,44,45,35,36,26,27,28,18
93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17,16,0
97,98,88,89,810,79,78,68,67,57,56,55,45,44,34,33,23,22,21,11
96,86,85,75,74,64,63,62,52,51,41,40,30,31,21,22,23,13,14,0
92,91,81,80,70,71,72,62,63,53,54,44,45,46,36,37,27,28,29,19
92,93,83,84,85,75,76,66,67,57,58,59,49,410,39,38,28,27,26,16
96,97,98,88,89,79,710,69,68,67,57,56,46,45,35,34,33,23,22,12
97,87,86,76,75,74,64,63,53,52,42,41,40,30,31,21,22,12,13,0
93,92,91,81,80,70,71,61,62,52,53,54,44,45,35,36,26,27,28,18
91,92,93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17
96,97,87,88,78,79,710,69,68,58,57,47,46,45,35,34,24,23,13,12
99,98,88,87,76,75,65,64,54,53,52,42,41,31,30,20,21,11,12,0
92,82,81,71,70,60,61,62,52,53,43,44,34,35,36,26,27,17,18,0
92,93,83,84,85,75,76,66,67,57,58,59,49,410,39,38,28,27,26,16
96,97,98,88,89,79,710,69,68,67,57,56,46,45,35,34,33,23,22,12
105,104,94,93,83,82,71,70,60,61,51,43,44,34,35,25,26,16,17,0
93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17,16,0
88,89,810,79,78,68,67,57,56,55,45,44,34,33,23,22,21,11,10,0
106,96,95,85,84,74,73,72,62,61,51,50,40,41,42,32,33,23,24,14
92,91,81,80,70,71,72,62,63,53,54,44,45,46,36,37,27,28,29,19
92,93,83,84,85,75,76,66,67,57,58,59,49,410,39,38,28,27,26,16
98,88,89,79,710,69,68,67,57,56,46,45,35,34,33,23,22,12,11,0
97,96,86,85,84,74,73,63,62,52,51,50,40,41,31,32,22,23,24,14
93,92,91,81,80,70,71,61,62,52,53,54,44,45,35,36,26,27,28,18
91,92,93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17
96,97,87,88,78,79,710,69,68,58,57,47,46,45,35,34,24,23,13,12
1010,99,98,88,87,76,75,65,64,54,53,52,42,41,31,30,20,21,11,12
95,94,84,83,82,72,71,61,60,50,51,52,42,43,33,34,24,25,26,16
91,90,80,81,82,72,73,63,64,65,55,56,46,47,37,38,39,29,210,19
15,107,108,98,99,89,810,79,78,66,56,55,45,44,43,33,32,22,21,10
97,96,86,85,84,74,73,63,62,52,51,50,40,41,31,32,22,23,24,14
93,92,91,81,80,70,71,61,62,52,53,54,44,45,35,36,26,27,28,18
91,92,93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17
96,97,87,88,78,79,710,69,68,58,57,47,46,45,35,34,24,23,13,12
1010,99,98,88,87,76,75,65,64,54,53,52,42,41,31,30,20,21,11,12
95,94,84,83,82,72,71,61,60,50,51,52,42,43,33,34,24,25,26,16
91,90,80,81,82,72,73,63,64,65,55,56,46,47,37,38,39,29,210,19
15,107,108,98,99,89,810,79,78,66,56,55,45,44,43,33,32,22,21,10
97,96,86,85,84,74,73,63,62,52,51,50,40,41,31,32,22,23,24,14
93,92,91,81,80,70,71,61,62,52,53,54,44,45,35,36,26,27,28,18
93,83,84,74,75,65,66,67,57,58,48,49,39,310,38,28,27,17,16,0
97,98,88,89,810,79,78,68,67,57,56,55,45,44,34,33,23,22,21,11
96,86,85,75,74,64,63,62,52,51,41,40,30,31,21,22,23,13,14,0
92,91,81,80,70,71,72,62,63,53,54,44,45,46,36,37,27,28,29,19
